NGC288         6.45  3.41  0.37  0.37  W15
NGC288        11.86  3.56  0.39  0.39  W15
NGC288        17.90  3.43  0.33  0.33  W15
NGC288        23.54  3.02  0.22  0.22  W15
NGC288        28.82  3.05  0.22  0.22  W15
NGC288        32.15  2.83  0.24  0.24  W15
NGC288        36.18  2.66  0.22  0.22  W15
NGC288        40.41  2.81  0.20  0.20  W15
NGC288        43.67  2.80  0.22  0.22  W15
NGC288        46.12  2.78  0.25  0.22   RV
NGC288        46.68  2.97  0.22  0.22  W15
NGC288        50.48  2.50  0.22  0.22  W15
NGC288        53.81  2.30  0.18  0.18  W15
NGC288        56.87  2.47  0.21  0.21  W15
NGC288        59.81  2.76  0.24  0.24  W15
NGC288        63.19  2.74  0.20  0.20  W15
NGC288        66.45  2.83  0.18  0.18  W15
NGC288        69.03  2.57  0.19  0.19  W15
NGC288        70.72  2.93  0.25  0.23  GEDR3
NGC288        72.08  2.41  0.19  0.19  W15
NGC288        74.82  2.89  0.20  0.20  W15
NGC288        78.41  3.10  0.21  0.21  W15
NGC288        82.20  2.81  0.23  0.23  W15
NGC288        87.72  3.12  0.24  0.24  W15
NGC288        89.75  2.97  0.26  0.22   RV
NGC288        99.57  2.92  0.19  0.19  W15
NGC288       125.78  2.53  0.22  0.20   RV
NGC288       128.66  2.82  0.28  0.26  GEDR3
NGC288       175.14  2.86  0.25  0.22   RV
NGC288       177.42  2.16  0.26  0.24  GEDR3
NGC288       222.46  2.44  0.29  0.27  GEDR3
NGC288       228.66  2.37  0.23  0.20   RV
NGC288       282.50  2.96  0.34  0.32  GEDR3
NGC288       317.10  2.10  0.20  0.17   RV
NGC288       390.66  1.74  0.31  0.29  GEDR3
NGC288       557.32  1.50  0.21  0.18   RV
NGC362         3.44  7.85  0.75  0.75  W15
NGC362         3.80  7.66  0.69  0.58  K18
NGC362         6.65  8.48  0.76  0.76  W15
NGC362         7.80  9.03  0.66  0.64  K18
NGC362         8.37  7.52  0.60  0.60  W15
NGC362         9.33  7.58  0.67  0.67  W15
NGC362        12.60  9.34  0.48  0.43  K18
NGC362        12.89  7.62  0.22  0.22  W15
NGC362        13.06  7.58  0.70  0.61   RV
NGC362        16.49  7.70  0.25  0.25  W15
NGC362        18.91  8.33  0.26  0.26  W15
NGC362        20.00  8.39  0.30  0.29  K18
NGC362        21.84  7.90  0.18  0.18  W15
NGC362        25.03  7.88  0.18  0.18  W15
NGC362        28.01  8.28  0.20  0.20  W15
NGC362        31.05  7.35  0.15  0.15  W15
NGC362        31.60  7.77  0.21  0.21  K18
NGC362        33.89  7.67  0.19  0.19  W15
NGC362        34.89  6.63  0.61  0.53   RV
NGC362        36.73  7.54  0.17  0.17  W15
NGC362        39.77  7.38  0.16  0.16  W15
NGC362        42.95  7.50  0.19  0.19  W15
NGC362        46.19  7.35  0.16  0.16  W15
NGC362        49.83  6.98  0.15  0.15  W15
NGC362        53.38  7.34  0.17  0.17  W15
NGC362        57.03  6.65  0.17  0.17  W15
NGC362        60.87  6.81  0.16  0.16  W15
NGC362        64.64  6.55  0.17  0.17  W15
NGC362        68.54  6.51  0.15  0.15  W15
NGC362        69.52  6.83  0.63  0.54   RV
NGC362        72.85  6.42  0.15  0.15  W15
NGC362        77.46  6.57  0.15  0.15  W15
NGC362        83.05  6.03  0.16  0.16  W15
NGC362        90.09  6.51  0.15  0.15  W15
NGC362       103.23  6.38  0.58  0.51   RV
NGC362       103.48  7.85  0.20  0.20  W15
NGC362       108.12  6.25  0.52  0.47  GEDR3
NGC362       144.15  5.28  0.48  0.42   RV
NGC362       144.56  5.04  0.45  0.40  GEDR3
NGC362       189.59  5.47  0.50  0.45  GEDR3
NGC362       213.31  3.50  0.33  0.29   RV
NGC362       231.41  4.41  0.41  0.37  GEDR3
NGC362       307.11  3.56  0.34  0.30  GEDR3
NGC362       342.73  3.47  0.32  0.28   RV
NGC362       783.09  3.60  1.72  1.05   RV
NGC1261        3.27  5.51  0.38  0.35  R18
NGC1261        6.53  5.64  0.29  0.27  R18
NGC1261        9.64  5.71  0.25  0.25  R18
NGC1261       12.39  5.30  0.25  0.22  R18
NGC1261       15.45  4.31  0.52  0.45   RV
NGC1261       15.96  5.23  0.18  0.15  R18
NGC1261       20.51  4.93  0.13  0.12  R18
NGC1261       26.55  4.89  0.11  0.10  R18
NGC1261       35.08  4.86  0.11  0.11  R18
NGC1261       44.67  4.74  0.10  0.09  R18
NGC1261       48.52  3.96  0.45  0.38   RV
NGC1261       59.43  4.35  0.10  0.09  R18
NGC1261       79.38  3.70  0.43  0.36   RV
NGC1261       79.80  3.99  0.10  0.10  R18
NGC1261      100.00  4.50  0.42  0.37  GEDR3
NGC1261      115.56  3.40  0.39  0.33   RV
NGC1261      171.97  2.72  0.31  0.27   RV
NGC1261      284.10  2.87  0.44  0.38  GEDR3
NGC1261      352.17  2.62  0.32  0.27   RV
NGC1851        4.00  9.09  0.81  0.70  K18
NGC1851        7.20 10.39  0.71  0.65  K18
NGC1851        7.89  8.90  0.98  0.98  W15
NGC1851       10.60  8.27  0.67  0.60   RV
NGC1851       11.80  9.54  0.46  0.42  K18
NGC1851       12.96 10.56  0.38  0.38  W15
NGC1851       16.52  9.50  0.38  0.38  W15
NGC1851       17.94  8.88  0.72  0.63   RV
NGC1851       18.50  8.60  0.26  0.26  K18
NGC1851       18.97 10.52  0.44  0.44  W15
NGC1851       21.90  9.64  0.28  0.28  W15
NGC1851       22.51  8.27  0.67  0.60   RV
NGC1851       25.08  8.75  0.28  0.28  W15
NGC1851       27.98  9.50  0.77  0.68   RV
NGC1851       28.29  8.92  0.29  0.29  W15
NGC1851       29.40  8.24  0.17  0.18  K18
NGC1851       31.28  9.27  0.30  0.30  W15
NGC1851       32.86  8.17  0.66  0.58   RV
NGC1851       33.94  9.00  0.25  0.25  W15
NGC1851       36.45  8.17  0.26  0.26  W15
NGC1851       39.03  8.02  0.65  0.57   RV
NGC1851       39.12  8.46  0.28  0.28  W15
NGC1851       41.58  7.69  0.26  0.26  W15
NGC1851       44.18  7.60  0.24  0.24  W15
NGC1851       46.26  6.24  0.51  0.45   RV
NGC1851       46.73  8.01  0.25  0.25  W15
NGC1851       49.32  7.88  0.21  0.21  W15
NGC1851       51.93  7.67  0.22  0.22  W15
NGC1851       54.83  7.24  0.23  0.23  W15
NGC1851       55.75  7.05  0.58  0.51   RV
NGC1851       57.70  6.99  0.22  0.22  W15
NGC1851       60.98  7.02  0.21  0.21  W15
NGC1851       64.67  6.77  0.19  0.19  W15
NGC1851       68.47  6.37  0.20  0.20  W15
NGC1851       72.62  6.04  0.19  0.19  W15
NGC1851       76.22  5.26  0.43  0.38   RV
NGC1851       78.09  6.12  0.18  0.18  W15
NGC1851       88.78  5.86  0.18  0.18  W15
NGC1851       89.95  6.02  0.56  0.50  GEDR3
NGC1851      108.19  5.56  0.45  0.41   RV
NGC1851      128.27  6.22  0.61  0.54  GEDR3
NGC1851      148.95  4.77  0.39  0.35   RV
NGC1851      164.00  4.30  0.48  0.43  GEDR3
NGC1851      198.60  4.36  0.36  0.32   RV
NGC1851      208.56  4.15  0.48  0.44  GEDR3
NGC1851      271.53  3.63  0.31  0.28   RV
NGC1851      305.71  3.49  0.46  0.42  GEDR3
NGC1851      391.11  3.54  0.31  0.28   RV
NGC1851      520.58  2.42  0.68  0.62  GEDR3
NGC1851      847.45  2.67  0.32  0.28   RV
NGC1904       14.25  7.36  0.67  0.58   RV
NGC1904       27.10  5.97  0.54  0.47   RV
NGC1904       36.65  5.25  0.49  0.42   RV
NGC1904       47.66  4.04  0.38  0.33   RV
NGC1904       92.77  3.92  0.37  0.32   RV
NGC1904      150.81  3.08  0.29  0.26   RV
NGC1904      225.08  2.56  0.25  0.22   RV
NGC1904      516.58  2.47  0.37  0.30   RV
NGC2298       23.81  3.67  0.71  0.55   RV
NGC2298       61.70  3.04  0.35  0.32  GEDR3
NGC2298      101.86  3.50  0.73  0.57   RV
NGC2298      122.11  2.31  0.30  0.27  GEDR3
NGC2298      196.89  1.58  0.53  0.50  GEDR3
NGC2419       36.67  5.57  0.58  0.50   RV
NGC2419      100.11  3.12  0.40  0.35   RV
NGC2419      213.80  1.79  0.24  0.21   RV
NGC2808        4.76 14.42  1.30  1.30  W15
NGC2808        4.80 13.94  1.12  1.00  K18
NGC2808        7.08 12.50  0.83  0.74   RV
NGC2808        9.60 13.60  0.92  0.89  K18
NGC2808       12.79 14.54  0.54  0.54  W15
NGC2808       14.63 12.08  0.80  0.72   RV
NGC2808       15.20 13.33  0.56  0.53  K18
NGC2808       16.70 13.77  0.50  0.50  W15
NGC2808       19.17 13.28  0.51  0.51  W15
NGC2808       20.59 14.33  0.95  0.86   RV
NGC2808       23.75 13.83  0.24  0.24  W15
NGC2808       23.80 13.43  0.35  0.35  K18
NGC2808       26.26 13.92  0.92  0.83   RV
NGC2808       29.80 13.21  0.26  0.26  W15
NGC2808       31.63 13.07  0.86  0.78   RV
NGC2808       34.71 13.33  0.28  0.28  W15
NGC2808       36.61 11.37  0.76  0.68   RV
NGC2808       37.80 12.50  0.24  0.22  K18
NGC2808       38.99 13.14  0.24  0.24  W15
NGC2808       42.61 12.22  0.19  0.19  W15
NGC2808       42.76 11.16  0.74  0.67   RV
NGC2808       45.92 12.25  0.19  0.19  W15
NGC2808       49.15 11.99  0.20  0.20  W15
NGC2808       49.72 11.02  0.73  0.66   RV
NGC2808       52.38 11.94  0.23  0.23  W15
NGC2808       54.00 11.33  0.22  0.22  K18
NGC2808       55.39 11.93  0.22  0.22  W15
NGC2808       58.07 10.89  0.72  0.65   RV
NGC2808       58.46 11.86  0.19  0.19  W15
NGC2808       61.76 11.46  0.20  0.20  W15
NGC2808       64.80 11.64  0.23  0.23  W15
NGC2808       67.67 10.87  0.18  0.18  W15
NGC2808       70.79 10.95  0.19  0.19  W15
NGC2808       72.45 10.28  0.68  0.62   RV
NGC2808       74.06 10.77  0.19  0.19  W15
NGC2808       77.68 10.29  0.19  0.19  W15
NGC2808       81.60 10.43  0.19  0.19  W15
NGC2808       85.99 10.42  0.18  0.18  W15
NGC2808       91.92  9.73  0.18  0.18  W15
NGC2808       97.47  9.31  0.61  0.56   RV
NGC2808      102.49  9.64  0.17  0.17  W15
NGC2808      127.74  8.98  0.59  0.53   RV
NGC2808      151.02  8.38  0.42  0.39  GEDR3
NGC2808      162.01  7.49  0.50  0.45   RV
NGC2808      201.16  7.38  0.49  0.45   RV
NGC2808      204.88  7.75  0.40  0.37  GEDR3
NGC2808      257.30  7.80  0.52  0.47   RV
NGC2808      262.53  6.68  0.36  0.33  GEDR3
NGC2808      345.27  6.98  0.47  0.43   RV
NGC2808      363.86  5.69  0.32  0.30  GEDR3
NGC2808      481.65  5.56  0.92  0.73   RV
NGC2808      526.80  4.59  0.44  0.40  GEDR3
NGC3201       11.83  4.45  0.21  0.20   RV
NGC3201       22.19  4.24  0.20  0.19   RV
NGC3201       29.11  4.05  0.20  0.19   RV
NGC3201       35.31  4.17  0.20  0.19   RV
NGC3201       41.35  4.20  0.21  0.19   RV
NGC3201       46.42  4.15  0.20  0.19   RV
NGC3201       51.29  4.16  0.21  0.19   RV
NGC3201       58.96  4.40  0.21  0.20   RV
NGC3201       79.84  3.79  0.28  0.25   RV
NGC3201       97.46  3.99  0.19  0.18  GEDR3
NGC3201      133.03  4.18  0.30  0.27   RV
NGC3201      149.92  3.96  0.20  0.18  GEDR3
NGC3201      190.84  3.81  0.19  0.18  GEDR3
NGC3201      205.12  3.89  0.27  0.24   RV
NGC3201      233.22  3.42  0.18  0.17  GEDR3
NGC3201      274.64  3.17  0.17  0.16  GEDR3
NGC3201      298.33  3.43  0.25  0.23   RV
NGC3201      317.79  3.21  0.18  0.17  GEDR3
NGC3201      372.18  3.12  0.17  0.16  GEDR3
NGC3201      413.15  3.24  0.24  0.22   RV
NGC3201      431.60  2.97  0.17  0.16  GEDR3
NGC3201      504.97  3.05  0.17  0.16  GEDR3
NGC3201      551.30  2.79  0.21  0.19   RV
NGC3201      590.33  2.79  0.16  0.15  GEDR3
NGC3201      703.10  3.14  0.17  0.16  GEDR3
NGC3201      749.60  2.37  0.18  0.16   RV
NGC3201      853.36  2.85  0.17  0.15  GEDR3
NGC3201     1029.44  2.55  0.19  0.18   RV
NGC3201     1041.47  2.94  0.22  0.21  GEDR3
NGC3201     1504.18  2.26  0.18  0.16   RV
NGC3201     2337.44  2.07  0.28  0.24   RV
NGC4147       41.05  2.00  0.35  0.27   RV
NGC4147      174.98  1.37  0.29  0.23   RV
NGC4372       81.37  4.56  0.54  0.45   RV
NGC4372      108.06  3.86  0.15  0.14  GEDR3
NGC4372      155.59  3.94  0.47  0.40   RV
NGC4372      207.07  3.71  0.14  0.13  GEDR3
NGC4372      236.95  3.56  0.43  0.35   RV
NGC4372      329.17  3.40  0.13  0.13  GEDR3
NGC4372      360.33  3.26  0.39  0.32   RV
NGC4372      488.29  3.03  0.15  0.14  GEDR3
NGC4372      521.23  3.11  0.74  0.54   RV
NGC4590       48.87  3.72  0.35  0.31   RV
NGC4590       92.39  3.21  0.29  0.27  GEDR3
NGC4590      130.28  2.79  0.27  0.23   RV
NGC4590      173.76  2.34  0.28  0.26  GEDR3
NGC4590      250.74  2.33  0.23  0.19   RV
NGC4590      332.94  1.74  0.24  0.23  GEDR3
NGC4590      556.86  1.79  0.24  0.20   RV
NGC4833       31.95  5.80  0.75  0.62   RV
NGC4833       94.11  5.04  0.62  0.51   RV
NGC4833      120.78  5.16  0.29  0.26  GEDR3
NGC4833      157.99  3.50  0.45  0.37   RV
NGC4833      172.26  4.75  0.28  0.25  GEDR3
NGC4833      214.63  4.49  0.27  0.25  GEDR3
NGC4833      275.76  3.47  0.23  0.21  GEDR3
NGC4833      283.27  3.71  0.46  0.39   RV
NGC4833      360.73  3.28  0.35  0.32  GEDR3
NGC5024       43.37  5.67  0.55  0.48   RV
NGC5024      107.05  5.21  0.46  0.43  GEDR3
